case,category,detail
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 64 matches, 7 wins, 88 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":105,""qTourRank"":425,""qSchoolRank"":210,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 70 matches, 7 wins, 96 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":103,""qTourRank"":432,""qSchoolRank"":213,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-career-match-count,"Elliot Vance: 12 matches, 8 wins, 13 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-season-match-count,"Elliot Vance: {""season"":""2026/27"",""worldRank"":60,""oneYearRank"":86,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":109,""youthRank"":null,""matches"":12,""wins"":8,""losses"":13,""prizeMoney"":29850,""rankingPoints"":27860,""titles"":0,""proWins"":6,""proLosses"":12,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-career-match-count,"Elliot Vance: 22 matches, 13 wins, 24 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-season-match-count,"Elliot Vance: {""season"":""2027/28"",""worldRank"":86,""oneYearRank"":102,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":5,""losses"":11,""prizeMoney"":23250,""rankingPoints"":16500,""titles"":0,""proWins"":5,""proLosses"":11,""mainTourEvents"":10,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Veteran Professional""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-career-match-count,"Elliot Vance: 26 matches, 14 wins, 29 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-season-match-count,"Elliot Vance: {""season"":""2028/29"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":245,""qTourRank"":414,""qSchoolRank"":162,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":1,""losses"":5,""prizeMoney"":0,""rankingPoints"":10,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Lost Card"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-career-match-count,"Elliot Vance: 32 matches, 18 wins, 36 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-season-match-count,"Elliot Vance: {""season"":""2029/30"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":99,""qTourRank"":413,""qSchoolRank"":84,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":4,""losses"":7,""prizeMoney"":0,""rankingPoints"":32,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-career-match-count,"Elliot Vance: 36 matches, 25 wins, 40 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-season-match-count,"Elliot Vance: {""season"":""2030/31"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":218,""qTourRank"":187,""qSchoolRank"":null,""seniorRank"":61,""youthRank"":null,""matches"":4,""wins"":7,""losses"":4,""prizeMoney"":0,""rankingPoints"":848,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-career-match-count,"Elliot Vance: 40 matches, 30 wins, 45 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":215,""qTourRank"":413,""qSchoolRank"":null,""seniorRank"":61,""youthRank"":null,""matches"":4,""wins"":5,""losses"":5,""prizeMoney"":0,""rankingPoints"":24,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 44 matches, 32 wins, 50 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":212,""qTourRank"":187,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":2,""losses"":5,""prizeMoney"":0,""rankingPoints"":832,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 48 matches, 35 wins, 55 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":208,""qTourRank"":189,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":5,""prizeMoney"":0,""rankingPoints"":833,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 52 matches, 35 wins, 61 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":260,""qTourRank"":420,""qSchoolRank"":201,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":4,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 56 matches, 40 wins, 66 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":95,""qTourRank"":187,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":5,""losses"":5,""prizeMoney"":0,""rankingPoints"":841,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 60 matches, 43 wins, 71 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":194,""qTourRank"":426,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":5,""prizeMoney"":0,""rankingPoints"":8,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 64 matches, 44 wins, 77 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":205,""qTourRank"":188,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":831,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 68 matches, 47 wins, 82 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":203,""qTourRank"":171,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":5,""prizeMoney"":0,""rankingPoints"":1182,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 72 matches, 47 wins, 88 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":262,""qTourRank"":420,""qSchoolRank"":200,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 78 matches, 47 wins, 96 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":96,""qTourRank"":419,""qSchoolRank"":199,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":17,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-career-match-count,"Elliot Vance: 82 matches, 47 wins, 102 losses"
artifacts\simulations\25-season-start-age-40-start-top-64-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-season-match-count,"Elliot Vance: {""season"":""2041/42"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":203,""qTourRank"":422,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
